,State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
64,24,474,3786,0,0,0,SUB-DISTRICT,Barwala,Urban,3310,17951,9337,8614,2192,1184,1008,1818,942,876,14,5,9,11854,6746,5108,6097,2591,3506,6305,5126,1179,5901,4956,945,306,291,15,1572,1152,420,34,30,4,3989,3483,506,404,170,234,17,11,6,179,55,124,8,3,5,200,101,99,365,152,213,17,11,6,163,48,115,8,3,5,177,90,87,39,18,21,0,0,0,16,7,9,0,0,0,23,11,12,11646,4211,7435
65,24,474,3787,0,0,0,SUB-DISTRICT,Dhandhuka,Urban,6350,32475,17001,15474,3747,2017,1730,2124,1146,978,138,62,76,23383,13402,9981,9092,3599,5493,11613,9112,2501,10299,8414,1885,561,503,58,1785,1094,691,152,119,33,7801,6698,1103,1314,698,616,49,24,25,260,119,141,48,20,28,957,535,422,1114,608,506,48,23,25,220,102,118,42,19,23,804,464,340,200,90,110,1,1,0,40,17,23,6,1,5,153,71,82,20862,7889,12973
66,24,475,3788,0,0,0,SUB-DISTRICT,Halvad,Urban,6500,32024,16639,15385,4015,2151,1864,2484,1258,1226,66,38,28,22482,12641,9841,9542,3998,5544,10928,9141,1787,9676,8512,1164,1062,944,118,1986,1617,369,87,58,29,6541,5893,648,1252,629,623,12,5,7,426,236,190,186,14,172,628,374,254,1118,573,545,9,3,6,376,218,158,177,12,165,556,340,216,134,56,78,3,2,1,50,18,32,9,2,7,72,34,38,21096,7498,13598
67,24,475,3789,0,0,0,SUB-DISTRICT,Dhrangadhra,Urban,15256,75133,40532,34601,8315,4510,3805,6376,3326,3050,165,101,64,54425,31931,22494,20708,8601,12107,25567,22096,3471,22681,20310,2371,906,743,163,942,605,337,229,194,35,20604,18768,1836,2886,1786,1100,130,22,108,347,72,275,81,34,47,2328,1658,670,2664,1647,1017,122,21,101,316,62,254,78,33,45,2148,1531,617,222,139,83,8,1,7,31,10,21,3,1,2,180,127,53,49566,18436,31130
68,24,475,3790,0,0,0,SUB-DISTRICT,Dasada,Urban,5987,29669,15638,14031,3768,2014,1754,1796,938,858,110,59,51,19104,11291,7813,10565,4347,6218,10772,8824,1948,9829,8444,1385,315,265,50,876,674,202,65,52,13,8573,7453,1120,943,380,563,21,12,9,278,62,216,11,3,8,633,303,330,781,312,469,9,5,4,228,47,181,8,1,7,536,259,277,162,68,94,12,7,5,50,15,35,3,2,1,97,44,53,18897,6814,12083
69,24,475,3791,0,0,0,SUB-DISTRICT,Lakhtar,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,24,475,3792,0,0,0,SUB-DISTRICT,Wadhwan,Urban,53529,253606,132114,121492,26938,14378,12560,23048,12035,11013,1444,766,678,191540,106851,84689,62066,25263,36803,84282,72435,11847,78719,69512,9207,1349,1165,184,1609,1164,445,1244,970,274,74517,66213,8304,5563,2923,2640,108,57,51,337,115,222,306,71,235,4812,2680,2132,4946,2582,2364,100,54,46,281,93,188,274,62,212,4291,2373,1918,617,341,276,8,3,5,56,22,34,32,9,23,521,307,214,169324,59679,109645
71,24,475,3793,0,0,0,SUB-DISTRICT,Muli,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,24,475,3794,0,0,0,SUB-DISTRICT,Chotila,Urban,12329,63715,33145,30570,8706,4685,4021,10342,5421,4921,254,132,122,42898,24518,18380,20817,8627,12190,21968,17887,4081,20798,17411,3387,816,743,73,1115,825,290,250,183,67,18617,15660,2957,1170,476,694,12,7,5,212,119,93,33,17,16,913,333,580,1015,404,611,11,6,5,195,111,84,28,16,12,781,271,510,155,72,83,1,1,0,17,8,9,5,1,4,132,62,70,41747,15258,26489
73,24,475,3795,0,0,0,SUB-DISTRICT,Sayla,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,24,475,3796,0,0,0,SUB-DISTRICT,Chuda,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,24,475,3797,0,0,0,SUB-DISTRICT,Limbdi,Urban,8808,42769,22374,20395,4206,2271,1935,7396,3911,3485,101,57,44,32474,18332,14142,10295,4042,6253,14287,11972,2315,12756,11308,1448,425,404,21,673,455,218,252,203,49,11406,10246,1160,1531,664,867,30,10,20,306,69,237,32,13,19,1163,572,591,1358,572,786,30,10,20,275,57,218,26,10,16,1027,495,532,173,92,81,0,0,0,31,12,19,6,3,3,136,77,59,28482,10402,18080
76,24,476,3798,0,0,0,SUB-DISTRICT,Maliya,Urban,2943,15964,8107,7857,2850,1488,1362,564,277,287,31,18,13,9143,5235,3908,6821,2872,3949,5067,4212,855,4044,3491,553,275,231,44,580,463,117,28,22,6,3161,2775,386,1023,721,302,18,9,9,176,78,98,2,0,2,827,634,193,963,685,278,17,8,9,152,67,85,2,0,2,792,610,182,60,36,24,1,1,0,24,11,13,0,0,0,35,24,11,10897,3895,7002
77,24,476,3799,0,0,0,SUB-DISTRICT,Morvi,Urban,51995,257645,134115,123530,31773,16967,14806,18097,9443,8654,1279,673,606,186931,104089,82842,70714,30026,40688,84623,75992,8631,78576,71616,6960,2523,2212,311,1235,1077,158,836,710,126,73982,67617,6365,6047,4376,1671,189,87,102,235,129,106,142,62,80,5481,4098,1383,5593,4165,1428,182,86,96,202,119,83,124,59,65,5085,3901,1184,454,211,243,7,1,6,33,10,23,18,3,15,396,197,199,173022,58123,114899
